category,info,lat,lon,marker_size,marker_color,label,tool_tip
Device,SW4|BG18039|sweeper|Palla Farms|146.54 hours,35.1826477,-119.0814209,2,red,,SW4|BG18039|sweeper|Palla Farms|146.54 hours|2|##########|02.504.01.00.429
Device,SW6|BG18848|sweeper|Palla Farms|146.51 hours,35.1827774,-119.0813675,2,red,,SW6|BG18848|sweeper|Palla Farms|146.51 hours|2|##########|02.503.50.00.419
Device,SW1|BG18232|sweeper|Palla Farms|146.54 hours,35.1826897,-119.0814514,2,red,,SW1|BG18232|sweeper|Palla Farms|146.54 hours|2|##########|02.504.01.00.429
Device,SW5|BG16763|sweeper|Palla Farms|146.52 hours,35.1827011,-119.0813904,2,red,,SW5|BG16763|sweeper|Palla Farms|146.52 hours|2|##########|02.504.01.00.429
Device,SU03|BG18069|almonds_bankout|Rakkar Farms|146.61 hours,36.8799896,-120.039856,2,red,,SU03|BG18069|almonds_bankout|Rakkar Farms|146.61 hours|2|##########|02.504.01.00.429
Device,JD 5105 #2|FL15852|smart_tractor|Ron Tadlock Farms|146.54 hours,38.8166313,-121.9165573,2,red,,JD 5105 #2|FL15852|smart_tractor|Ron Tadlock Farms|146.54 hours|2|##########|02.504.01.00.429
Device,109|BG14159|smart_tractor|Strain Farming Co.|146.57 hours,39.0469398,-121.9608917,2,red,,109|BG14159|smart_tractor|Strain Farming Co.|146.57 hours|2|##########|02.504.01.00.429
Device,OX02|BG20059|harvester|Sunrise Olive|144.22 hours,35.7470551,-119.4371567,2,red,,OX02|BG20059|harvester|Sunrise Olive|144.22 hours|2|##########|02.504.01.00.429
Device,B06|BG18852|almonds_bankout|Triple A|146.54 hours,37.6806641,-120.6165314,2,red,,B06|BG18852|almonds_bankout|Triple A|146.54 hours|2|##########|02.512.01.00.441
Device,B03|FL14132|almonds_bankout|Triple A|146.52 hours,37.6806221,-120.6166306,2,red,,B03|FL14132|almonds_bankout|Triple A|146.52 hours|2|##########|02.512.01.00.441
Device,B05|FL14619|almonds_bankout|Triple A|146.51 hours,37.6805344,-120.6165314,2,red,,B05|FL14619|almonds_bankout|Triple A|146.51 hours|2|##########|02.512.01.00.441
Device,TR 6|BG18222|smart_tractor|Viticultural Management Inc|146.59 hours,35.6183891,-120.6311874,2,red,,TR 6|BG18222|smart_tractor|Viticultural Management Inc|146.59 hours|2|##########|02.504.01.00.429
Device,R26-6|BG18056|smart_tractor|WA Farmland|146.59 hours,46.4152794,-120.128479,2,red,,R26-6|BG18056|smart_tractor|WA Farmland|146.59 hours|2|##########|02.504.01.00.429
Device,JD23 - AUT|BG18882|smart_tractor|Wawona Farming|146.54 hours,36.6460648,-119.9724045,2,red,,JD23 - AUT|BG18882|smart_tractor|Wawona Farming|146.54 hours|2|##########|02.504.01.00.429
Device,NH61|BG18674|smart_tractor|Wawona Farming|142.49 hours,36.3414688,-119.3972168,2,red,,NH61|BG18674|smart_tractor|Wawona Farming|142.49 hours|2|##########|02.504.01.00.429
Device,SH986a|BG18690|shaker|Westside Harvesting|143.29 hours,36.101593,-120.0160675,2,red,,SH986a|BG18690|shaker|Westside Harvesting|143.29 hours|2|##########|02.504.01.00.429
Device,T90|BG14855|smart_tractor|Zirkle Fruit. CRO|105.47 hours,47.2831306,-120.0698624,2,red,,T90|BG14855|smart_tractor|Zirkle Fruit. CRO|105.47 hours|2|##########|02.504.01.00.429
Device,T83|BG14860|smart_tractor|Zirkle Fruit. CRO|143.61 hours,46.9444313,-119.3154526,2,red,,T83|BG14860|smart_tractor|Zirkle Fruit. CRO|143.61 hours|2|##########|02.504.01.00.429
Device,T12|BG20192|smart_tractor|Zirkle Fruit. Othello|146.57 hours,46.9446297,-119.3152771,2,red,,T12|BG20192|smart_tractor|Zirkle Fruit. Othello|146.57 hours|2|##########|02.504.01.00.429
Device,T13 OC|BG20225|smart_tractor|Zirkle Fruit. Othello|146.57 hours,46.9375114,-119.3387299,2,red,,T13 OC|BG20225|smart_tractor|Zirkle Fruit. Othello|146.57 hours|2|##########|02.504.01.00.429
Device,T04 OC|BG20100|smart_tractor|Zirkle Fruit. Othello|146.59 hours,46.947464,-119.4792786,2,red,,T04 OC|BG20100|smart_tractor|Zirkle Fruit. Othello|146.59 hours|2|##########|02.504.01.00.429
Device,T11|BG16674|smart_tractor|Zirkle Fruit. Royal City|146.59 hours,46.9600105,-119.8429413,2,red,,T11|BG16674|smart_tractor|Zirkle Fruit. Royal City|146.59 hours|2|##########|02.513.00.04.442
